PE,rank,method,data,start,end
Match5,5,process,"{}",1566489800.594545,1566489800.5945542
PeakGroundMotion4,4,write,"{'output': 'output', 'size': 1273, 'id': ('PeakGroundMotion4', 4, 'output', 11)}",1566489800.623869,1566489800.623997
PeakGroundMotion4,4,process,"{}",1566489800.595219,1566489800.623847
Match5,5,read,"{'input': [('input', ('PeakGroundMotion4', 4, 'output', 11))]}",1566489800.611713,1566489800.624855
Match5,5,process,"{}",1566489800.6117,1566489800.611708
PeakGroundMotion4,4,read,"{'input': [('input', ('NormPE1', 1, 'output_max', 12))]}",1566489800.624028,1566489800.625294
PeakGroundMotion3,3,write,"{'output': 'output', 'size': 1274, 'id': ('PeakGroundMotion3', 3, 'output', 11)}",1566489800.630448,1566489800.630579
PeakGroundMotion3,3,process,"{}",1566489800.61049,1566489800.630425
Match5,5,read,"{'input': [('input', ('PeakGroundMotion3', 3, 'output', 11))]}",1566489800.624916,1566489800.6312928
Match5,5,process,"{}",1566489800.624904,1566489800.6249118
PeakGroundMotion3,3,read,"{'input': [('input', ('NormPE1', 1, 'output_mean', 12))]}",1566489800.630628,1566489800.631763
PeakGroundMotion3,3,write,"{'output': 'output', 'size': 1273, 'id': ('PeakGroundMotion3', 3, 'output', 12)}",1566489800.6534941,1566489800.6536179
PeakGroundMotion3,3,process,"{}",1566489800.631797,1566489800.65347
Match5,5,read,"{'input': [('input', ('PeakGroundMotion3', 3, 'output', 12))]}",1566489800.631349,1566489800.654537
Match5,5,process,"{}",1566489800.631336,1566489800.6313448
